player,cfg3_per_g,cfg3a_per_g,cfg3,cfg3a,cfg3_pct,cft,cfta,cft_pct,cts_pct,cefg_pct,cfg3a_per_fga_pct,cusg_pct,fg3,fg3a,fg3_pct
Marcus Smart,1.4,4.6,87,295,.295,349,465,.751,.542,.470,.388,28.2,584,1835,.318
Russ Smith,1.4,3.9,180,521,.345,488,642,.760,.528,.473,.347,32.6,3,16,.188
Nik Stauskas,2.3,5.2,172,390,.441,242,291,.832,.638,.591,.564,21.0,396,1121,.353
David Stockton,0.5,1.7,70,229,.306,145,207,.700,.529,.490,.435,15.5,3,5,.600
Jarnell Stokes,0.0,0.0,0,3,,307,489,.628,.560,.530,.004,24.2,0,0,
Noah Vonleh,0.5,1.1,16,33,.485,96,134,.716,.604,.560,.153,21.4,92,297,.310
T.J. Warren,0.6,2.0,45,143,.315,195,298,.654,.593,.579,.150,28.6,247,685,.361
David Wear,0.5,1.1,60,142,.423,120,163,.736,.538,.513,.190,16.8,0,1,.000
Travis Wear,0.2,0.4,20,50,.400,182,228,.798,.553,.516,.059,18.8,28,77,.364
Shayne Whittington,0.1,0.4,8,48,,279,367,.760,.570,.520,.059,22.9,1,8,.125
Andrew Wiggins,1.2,3.6,43,126,.341,176,227,.775,.563,.499,.299,26.3,540,1625,.332
C.J. Wilcox,2.3,5.9,301,773,.389,299,356,.840,.571,.535,.523,24.1,19,57,.333
James Young,2.1,5.9,82,235,.349,125,177,.706,.536,.498,.522,23.4,38,137,.277
Cliff Alexander,0.0,0.0,0,0,,53,79,.671,.598,.566,.000,20.1,0,0,
Justin Anderson,1.0,2.8,97,272,.357,200,266,.752,.549,.503,.407,22.3,144,486,.296
Keith Appling,1.0,2.9,138,413,.334,389,520,.748,.544,.491,.362,20.7,0,3,.000
Devin Booker,1.5,3.7,58,141,.411,53,64,.828,.600,.571,.491,22.8,669,1890,.354
Anthony Brown,1.5,3.8,218,541,.403,308,410,.751,.556,.518,.447,20.1,28,98,.286
Willie Cauley-Stein,0.0,0.0,0,0,,151,297,.508,.582,.593,.000,16.9,4,19,.211
Rakeem Christmas,0.0,0.0,0,1,,228,335,.681,.588,.560,.001,17.4,0,0,
Coty Clarke,0.5,1.2,34,77,.442,160,206,.777,.575,.513,.199,19.6,2,2,1.000
Pat Connaughton,1.9,5.0,268,695,.386,167,215,.777,.587,.567,.607,16.9,217,630,.344
Branden Dawson,0.0,0.1,0,9,,177,317,.558,.562,.559,.009,21.2,0,0,
